UNITID,mn_earn_wne_p6,md_earn_wne_p6,CONTROL,PREDDEG,UGDS,INEXPFTE,PPTUG_EF,C150_4,AVGFACSAL,ADM_RATE_ALL,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOld,UGDS_HISPOld,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PAR_ED_PCT_1STGEN,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,pct_grad_prof,female,first_gen,age_entry,DEBT_MDN
157386,27900,25900,1,3,7523,4393,0.1203,0.3863,5259,0.7235,930,3364,8948,0.9463,0.0363,0.002,0.0027,0.0057,0.579496311,0.161027728,0.154413635,0.087255151,0.017807174,0.577105575,0.075622776,0.5014828,0.422894425,5.539999962,0.600000024,0.579999983,22.47999954,8104
157401,32000,29400,1,3,7776,5249,0.1249,0.4809,5641,0.8829,990,3436,9324,0.8859,0.0625,0.0082,0.005,0.0077,0.459808038,0.179964007,0.204259148,0.119376125,0.036592682,0.469197469,0.028971029,0.44022644,0.530802531,6.440000057,0.600000024,0.469999999,22.30999947,10554
157951,30200,28300,1,3,15048,4105,0.1472,0.415,5667,0.93,972,3650,8498,0.8747,0.0841,0.0093,0.0032,0.0094,0.474200744,0.188698885,0.19464684,0.109739777,0.032713755,0.502283878,0.036880393,0.465403485,0.497716123,6.679999828,0.610000014,0.5,22.32999992,9560
159391,43100,38600,1,3,25484,6308,0.0749,0.5748,6930,0.7684,1125,3910,9210,0.8066,0.091,0.0304,0.0034,0.0234,0.377693966,0.155037716,0.184536638,0.180630388,0.102101293,0.346471526,0.010578177,0.335893349,0.653528474,8.869999886,0.550000012,0.349999994,20.65999985,11750
159416,34000,31300,1,3,3594,3965,0.2883,0.211,5202,1,970,2884,7214,0.6489,0.2165,0.0159,0.0075,0.0189,0.636158192,0.170056497,0.117514124,0.056497175,0.019774011,0.480645161,0.030967742,0.449677419,0.519354839,6.570000172,0.680000007,0.479999989,23.90999985,8250
159647,37500,32900,1,3,9543,5308,0.1693,0.4881,5707,0.9167,1010,3581,8606,0.7452,0.1539,0.0076,0.0068,0.0134,0.47729127,0.177318466,0.182757683,0.119934729,0.042697852,0.411442483,0.014607425,0.396835058,0.588557517,7.150000095,0.540000021,0.409999996,21.51000023,8461
159656,38700,35800,2,3,3649,6565,0.1003,0.5983,6826,0.6889,1212,21320,21320,0.655,0.1006,0.0438,0.0055,0.1028,0.277701778,0.154582763,0.206566348,0.166894665,0.194254446,0.229739777,0.0133829,0.216356877,0.770260223,11.69999981,0.629999995,0.230000004,21.27000046,14250
159717,34300,30200,1,3,7278,3236,0.1724,0.2605,4998,0.8827,930,2860,8926,0.7547,0.2017,0.0066,0.0084,0.0117,0.551549652,0.179949399,0.146426313,0.097090449,0.024984187,0.543390699,0.029293299,0.5140974,0.456609301,4.96999979,0.620000005,0.540000021,22.35000038,8750
159939,33400,29900,1,3,13139,4775,0.2734,0.2355,6100,0.6969,981,3084,10128,0.5509,0.24,0.0576,0.0043,0.0656,0.606582025,0.152355496,0.130471099,0.082191781,0.028399599,0.457465794,0.030339084,0.42712671,0.542534206,7.980000019,0.610000014,0.460000008,22.5,9066
159993,38600,31300,1,3,7116,3542,0.1807,0.2849,5184,0.9872,950,2910,8862,0.6897,0.2694,0.0201,0.0025,0.0065,0.597672486,0.154890551,0.14879468,0.076475478,0.022166805,0.521963824,0.036498708,0.485465116,0.478036176,6.170000076,0.660000026,0.519999981,22.94000053,10362
160038,31700,27100,1,3,9200,2908,0.245,0.265,4783,0.9827,930,3066,9144,0.6015,0.3053,0.0087,0.0195,0.0164,0.614747786,0.166923373,0.128417405,0.071621101,0.018290335,0.531992687,0.030621572,0.501371115,0.468007313,5.71999979,0.670000017,0.529999971,23.06999969,8750
160065,40500,38800,2,3,1296,3303,0.375,0.3099,3455,0.3681,910,5815,5815,0.7168,0.1628,0.0224,0.0046,0.0486,0.535871157,0.166910688,0.153733529,0.095168375,0.048316252,0.509090909,0.041322314,0.467768595,0.490909091,7.059999943,0.819999993,0.50999999,24.18000031,10500
160612,32900,30400,1,3,13491,3144,0.1552,0.2264,5081,0.9573,950,2951,8279,0.7975,0.1552,0.0042,0.0037,0.0131,0.56475928,0.152374777,0.147673853,0.100988815,0.034203274,0.542493448,0.029951329,0.512542119,0.457506552,6.53000021,0.600000024,0.540000021,21.82999992,12139
160621,29200,25600,1,3,7571,4138,0.077,0.2499,5419,0.5436,780,3066,8858,0.0129,0.9748,0.0038,0,9.00E-04,0.689301552,0.142738359,0.086751663,0.059866962,0.021341463,0.451926414,0.02846234,0.423464075,0.548073586,6.380000114,0.589999974,0.449999988,20.70000076,14330.5
160658,34200,30600,1,3,14075,2930,0.1466,0.2981,5934,0.8703,970,2700,8960,0.7456,0.1876,0.0163,0.0053,0.0148,0.535422343,0.165239393,0.160179058,0.100038926,0.03912028,0.521123596,0.027191011,0.493932584,0.478876405,5.869999886,0.600000024,0.519999981,21.53000069,9056.5
160755,54200,46900,2,3,7830,15928,0.2351,0.7379,6993,0.5528,1330,29810,29810,0.7134,0.0834,0.0416,0.0047,0.0352,0.466688986,0.127217944,0.126548376,0.131570137,0.147974556,0.223339318,0.010771993,0.212567325,0.776660682,13.03999996,0.569999993,0.219999999,23.01000023,12500
160904,55000,35300,2,3,3077,4968,0.025,0.5424,5570,0.869,974,10500,10500,0.0117,0.8453,0.0422,3.00E-04,0.0036,0.499515034,0.1842871,0.141610087,0.112027158,0.062560621,0.335093897,0.025821596,0.309272301,0.664906103,7.730000019,0.75999999,0.340000004,19.79999924,16246.5
161253,36200,32600,1,3,8287,6669,0.1212,0.5985,6246,0.788,1085,5914,14614,0.933,0.0084,0.011,0.0175,0.0081,0.321830266,0.193762781,0.260480573,0.166155419,0.057770961,0.321292776,0.006789788,0.314502988,0.678707224,8.5,0.529999971,0.319999993,21.09000015,13625
161518,38000,35400,2,3,2571,3226,0.6371,0.6238,4632,0.7931,995,18070,18070,0.4819,0.0311,0.007,0.0016,0.0113,0.262642741,0.179445351,0.278955954,0.182707994,0.096247961,0.357894737,0.012280702,0.345614035,0.642105263,8.710000038,0.660000026,0.360000014,20.96999931,14000
