"UNITID","mn_earn_wne_p6","mn_earn_discretize","md_earn_wne_p6","md_earn_discretize","CONTROL_1","CONTROL_2","CONTROL_3","PREDDEG_0","PREDDEG_1","PREDDEG_2","PREDDEG_3","UGDS","INEXPFTE","PPTUG_EF","C150_4","AVGFACSAL","ADM_RATE_ALL","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOld","UGDS_HISPOld","INC_PCT_LO","INC_PCT_M1","INC_PCT_M2","INC_PCT_H1","INC_PCT_H2","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","pct_grad_prof","female","first_gen","age_entry","DEBT_MDN"
198109,46600,3,47000,3,0,1,0,0,1,0,0,-0.93777223306507,-0.0479408153182684,1.38295662863132,-0.0694602425172711,-0.752968710741472,0.109937277288829,-0.440805426295483,-0.513013270367541,-1.32905022397594,0.950304525434467,-0.209641756162949,-0.531897218306276,-0.402889130926076,-0.50947169217749,0.0758354193484474,1.06340634158841,0.778372262173848,-0.429919132538624,-0.721117412135292,0.480549222137462,0.11512949088187,0.506210107757519,-0.480549223204677,-1.59731264027127,2.84425688460394,0.519770004558142,1.72099642555931,-1.72895591935196
198303,25600,2,24600,1,0,1,0,0,0,0,1,-0.876000528663414,-0.447356417772134,-0.77596508618473,-1.34823215213649,-1.01604867531035,-0.45821975876519,-1.68579226570853,0.338322055665286,-0.155182506194882,-0.761280095953426,1.63325333302316,-0.594099145378185,-0.14120774590713,-0.391940770943238,0.652679820554211,-0.109743828581817,0.129998284026245,-0.366494393400197,-0.989730553990482,0.902322783288878,-0.0468950621684872,1.00988940971567,-0.902322784378973,-1.23888490430042,-1.48630580221301,0.891758116863461,-0.657840269891019,-1.80391861763345
198419,87600,4,66900,4,0,1,0,0,0,0,1,-0.194265536448777,2.89025811773716,-1.11768790199141,2.20509973574516,2.28106703784547,-2.49741904320713,2.79616035617845,2.26917374069484,2.50718141971127,-0.631364067556608,-0.0118376832569738,1.28716358228554,-0.245880299914709,0.0841793895669481,-0.556829264350074,-1.04737283516394,-0.796481782963363,0.371668751950068,1.68474989124552,-2.07514588128505,-0.777303297322476,-2.12272020031038,2.07514588035647,1.81113240175869,-0.403664798950061,-2.08414738605989,-0.346795740866242,1.08214526620414
198464,34200,2,32000,2,1,0,0,0,0,0,1,1.2201193073661,0.0520525850166474,-0.323262197020269,0.0132408004717414,0.0672893447265615,0.574592837782619,-0.248033270515398,-0.943082394933512,-0.25484147978609,0.408909003460819,0.281796934286679,-0.383994858379738,-0.0313015641991734,-0.495080150801868,0.106421239464012,-0.166994410948262,-0.226860358106767,0.30025536107628,-0.226309232433376,-0.249570951236773,-0.41965015040835,-0.181666938749141,0.249570950209165,-0.640378187344605,0.408315488863854,-0.22420648974393,-0.171559332742756,0.651109751085535
198507,23000,1,21600,1,1,0,0,0,0,0,1,-0.674212960951339,-0.273037565848989,-0.604305260487448,-0.304623752513238,-0.211299700723016,0.529448577165924,-1.95888615306365,-1.0306483141826,-0.710972935838157,-2.41806377445393,4.23419260222782,-0.635567096759457,-0.340085598521529,-0.643792745016636,1.98506853699494,-0.117488203669543,-1.43639372174244,-1.87229028360711,-1.24836665188875,0.603544280239712,0.152525206626178,0.633983231911109,-0.603544281313599,-1.55335464208962,0.0474350672301471,0.612766958236834,-0.0532744404097623,-1.49169534032509
198516,39400,3,37700,3,0,1,0,0,0,0,1,-0.38856562483944,-0.124609862226848,-0.975569534669941,1.24362978698174,-0.0820573600505315,-1.4398321572965,1.12546833941771,0.795726573012719,0.475511863535375,0.772201461050466,-0.247113956309733,-0.571982904641506,-0.324384715420392,-0.555044906533629,-1.72980121665121,-1.47424188004658,-0.242902976137663,1.31647681321929,2.93558005474182,-1.97938833791653,-1.07332479541461,-1.94984972135075,1.97938833698276,1.5237137902864,0.498535465708697,-1.99115035798356,-1.1265979828519,0.72625439766383
198543,26700,2,23700,1,1,0,0,0,0,0,1,-0.359239664163906,-0.321248669581894,0.226847663004974,-0.66805826796155,-0.114224342617905,0.896108059735669,-1.8464357288586,-1.03887209760414,-0.49919761695684,-2.612229184167,4.07201783437944,-0.536044013444404,0.0943055006099204,-0.203651437945507,2.06882441255336,0.309410546283594,-1.65528042405334,-1.97263455053517,-1.33789292485956,0.772957664332565,0.401875477988973,0.765319153787728,-0.772957665415643,-1.41133607152193,1.13007580885493,0.798761153885064,0.739671684037094,-0.864701509553159
198835,31700,2,30400,2,0,1,0,0,0,0,1,-0.803995935855827,-0.104298702783818,-0.729656854136161,-0.196043471582086,-0.568582971382061,1.43233378949983,-0.344419348405441,0.817849708696021,0.506016453208325,0.723069581220397,-0.157426395302676,-0.414404689392671,-0.214478533712435,-0.543051955387277,-0.335661648130199,-0.362951616751216,0.708930735071666,0.230274808285408,0.108031378968962,-0.0922844572801036,-0.696681236921902,0.0550588782308959,0.092284456243964,-1.13406171247299,0.678975942674721,-0.131209257074098,-0.355556934582601,-0.455317841753728
198899,25400,2,25200,2,0,1,0,0,0,0,1,-0.818721311854606,-0.424478463454436,-0.716882169433107,-0.65511864899048,-1.07406412601222,-0.0370568395972402,-0.601448889445554,0.582024031988152,0.180847109888294,0.605436522781096,0.104879005724813,-0.583041025009846,-0.151675001307888,-0.460300592477446,0.152920079595781,0.385524111624321,0.641179799296318,-0.481828143672179,-0.480608839281288,0.371543556941923,-0.18198409210141,0.452556094410765,-0.371543558003224,-0.687717818508209,-0.313444822105217,0.333775808909913,0.130724002565661,-1.36505932575246
199032,35500,2,29800,2,0,1,0,0,0,0,1,-0.857032247715835,0.00194428507203,-1.01868409554275,-0.639928661502703,-0.939652091712839,0.681397551924557,-0.737995833123114,0.432142683432169,-0.0258174923986024,-0.276575204552935,0.669419201378824,-0.570600639595464,4.67372973844146,-0.519066053094572,-0.098309018214516,1.54415741384327,0.504986457934846,-0.439702560491609,-0.377966092925094,0.242446916322851,0.334702354031462,0.192952500945861,-0.242446917377149,-0.633615405934447,0.318095521041015,0.240778855231221,2.89508079939239,-0.773727361153286
